"CEEK VR
CEEK",$0.1849,13.16%,"$147,232,000","796,076,729.25 CEEK"
"Conflux
CFX",$0.07935,6.48%,"$144,547,675",1.82B CFX
"WINkLink
WIN",$0.0001503,11.02%,"$144,538,676",961.74B WIN
"DAO Maker
DAO",$1.92,8.97%,"$136,125,480","70,894,286.56 DAO"
"Ocean Protocol
OCEAN",$0.2233,10.25%,"$136,885,978","613,099,141.00 OCEAN"
"Persistence
XPRT",$1.35,1.56%,"$134,843,844","100,203,227.27 XPRT"
"Raydium
RAY",$1.26,2.03%,"$133,198,802","$46,348,755"
"Constellation
DAG",$0.1047,1.95%,"$132,601,835",1.27B DAG
"MediBloc
MED",$0.02465,9.72%,"$132,680,631",5.38B MED
"dYdX
DYDX",$1.97,15.48%,"$129,472,759","65,569,295.00 DYDX"
"Orbs
ORBS",$0.04447,12.26%,"$127,940,260",2.88B ORBS
"DigitalBits
XDB",$0.1301,26.75%,"$124,679,030","958,046,512.04 XDB"
"Chromia
CHR",$0.223,11.28%,"$126,520,662","567,369,439.00 CHR"
"XYO
XYO",$0.009791,18.07%,"$125,769,304",12.84B XYO
"Tribe
TRIBE",$0.2752,0.93%,"$124,799,212","453,448,622.00 TRIBE"
"Syscoin
SYS",$0.1921,24.49%,"$123,695,825","643,878,743.23 SYS"
"Spell Token
SPELL",$0.001352,9.66%,"$121,687,956",89.97B SPELL
"Fetch.ai
FET",$0.1607,12.23%,"$119,873,788","746,113,681.00 FET"
"COTI
COTI",$0.114,12.62%,"$119,441,214",1.05B COTI
"Injective
INJ",$2.08,12.41%,"$118,052,137","56,655,553.33 INJ"
"Powerledger
POWR",$0.2418,25.85%,"$117,412,555","485,486,097.15 POWR"
"Divi
DIVI",$0.04002,5.46%,"$114,949,627",2.87B DIVI
"Celer Network
CELR",$0.01679,19.16%,"$114,857,074",6.84B CELR
"Pundi X (New)
PUNDIX",$0.4438,14.83%,"$114,712,672","258,491,637.23 PUNDIX"
"NuCypher
NU",$0.1617,15.57%,"$113,702,453","703,000,000.00 NU"
"Status
SNT",$0.03285,13.98%,"$114,013,577",3.47B SNT
"Request
REQ",$0.113,11.67%,"$113,016,168","999,876,008.01 REQ"
"Ontology Gas
ONG",$0.3639,13.82%,"$112,302,118","308,589,817.31 ONG"
"Revain
REV",$0.001276,14.43%,"$108,501,919",85.06B REV
"Ultra
UOS",$0.3538,5.30%,"$107,377,447","303,472,124.29 UOS"
"JOE
JOE",$0.4716,17.21%,"$107,463,813","227,875,141.00 JOE"
"Ardor
ARDR",$0.1055,16.30%,"$105,439,939","998,999,495.00 ARDR"
"Civic
CVC",$0.1574,18.57%,"$105,441,453","670,000,000.00 CVC"
"Cartesi
CTSI",$0.1861,8.64%,"$105,252,790","565,578,970.90 CTSI"
"Dent
DENT",$0.001055,4.68%,"$104,421,929",99.01B DENT
"Steem
STEEM",$0.2558,30.42%,"$101,035,708","394,951,699.00 STEEM"
